invoice_id,invoice_date,counterparty_name,base_amount,total_amount,tds_section,tds_amount,expected_net_amount,status
INV-001,01-08-2026,"Choudhury, Bakshi and Maharaj Enterprises",15000,17700,,0,17700,open
INV-002,02-08-2026,Kapoor Logistics,24500,28910,,0,28910,open
INV-003,03-08-2026,"Chaudry, Chahal and Sami Associates",38000,44840,,0,44840,open
INV-004,04-08-2026,Balan Logistics,52000,61360,,0,61360,open
INV-005,05-08-2026,Kaul PLC Associates,65000,76700,,0,76700,open
INV-006,06-08-2026,"Bala, Issac and Saini Trading Co",82000,96760,,0,96760,open
INV-007,07-08-2026,Sen PLC Trading Co,95000,112100,,0,112100,open
INV-008,08-08-2026,Ahuja-Dutta Enterprises,110000,129800,,0,129800,open
INV-009,09-08-2026,"Sami, Oak and Mall Technologies",125000,147500,,0,147500,open
INV-010,10-08-2026,Kale Associates,140000,165200,,0,165200,open
INV-011,11-08-2026,Chanda Logistics,175000,206500,,0,206500,open
INV-012,12-08-2026,Parmer Technologies,190000,224200,,0,224200,open
INV-013,13-08-2026,"Lalla, Bassi and Sharaf Associates",210000,247800,,0,247800,open
INV-014,14-08-2026,"Dash, Radhakrishnan and Brar Suppliers",240000,283200,,0,283200,open
INV-015,15-08-2026,"Memon, Pathak and Handa Trading Co",275000,324500,,0,324500,open
INV-016,16-08-2026,"Boase, Bath and Kari Industries",310000,365800,,0,365800,open
INV-017,17-08-2026,Buch-Kaul Pvt Ltd,340000,401200,,0,401200,open
INV-018,18-08-2026,Rai Associates,380000,448400,,0,448400,open
INV-019,19-08-2026,Patla-Gaba Logistics,420000,495600,,0,495600,open
INV-020,20-08-2026,Pant-Kadakia Trading Co,460000,542800,,0,542800,open
INV-021,21-08-2026,"Loke, Bora and Garg Associates",490000,578200,,0,578200,open
INV-022,22-08-2026,"Konda, Gade and Shere Logistics",55000,64900,,0,64900,open
INV-023,23-08-2026,Madan-Kanda Enterprises,72000,84960,,0,84960,open
INV-024,24-08-2026,"Nair, Bhalla and Karnik Trading Co",135000,159300,,0,159300,open
INV-025,25-08-2026,Mutti Associates,160000,188800,,0,188800,open
INV-026,26-08-2026,Bhatti-Kakar Pvt Ltd,225000,265500,,0,265500,open
INV-027,06-08-2026,"Murty, Kala and Tata Suppliers",18350,21653,,0,21653,open
