invoice_id,txn_ids,is_true_match,case_category
INV-001,TXN-001,true,14
INV-002,TXN-002,true,1
INV-003,TXN-003,true,1
INV-004,TXN-004,true,1
INV-005,TXN-005,true,1
INV-006,TXN-006,true,9
INV-007,TXN-007,true,1
INV-008,TXN-008,true,14
INV-009,TXN-009,true,10
INV-010,TXN-010,true,1
INV-011,TXN-011,true,9
INV-012,TXN-012,true,1
INV-013,TXN-013,true,1
INV-014,TXN-014,true,1
INV-015,TXN-015,true,14
INV-016,TXN-016,true,9
INV-017,TXN-017,true,10
INV-018,TXN-018,true,1
INV-019,TXN-019,true,1
INV-020,TXN-020,true,1
INV-021,TXN-021,true,9
INV-022,TXN-022,true,14
INV-023,TXN-023,true,1
INV-024,TXN-024,true,1
INV-025,TXN-025,true,10
INV-026,TXN-026,true,9
INV-027,TXN-027,true,2
INV-028,TXN-028,true,2
INV-029,TXN-029,true,2
INV-030,TXN-030,true,2
INV-031,TXN-031,true,2
INV-032,TXN-032,true,2
INV-033,TXN-033,true,2
INV-034,TXN-034,true,3
INV-035,TXN-035,true,3
INV-036,TXN-036,true,3
INV-037,TXN-037,true,3
INV-038,TXN-038,true,3
INV-039,TXN-039,true,3
INV-040,TXN-040,true,3
INV-041,"TXN-041,TXN-042",true,4
INV-042,"TXN-043,TXN-044,TXN-045",true,4
INV-043,"TXN-046,TXN-047",true,4
INV-044,"TXN-048,TXN-049",true,4
INV-045,"TXN-050,TXN-051",true,4
INV-046,TXN-052,true,5
INV-047,TXN-052,true,5
INV-048,TXN-053,true,5
INV-049,TXN-053,true,5
INV-050,TXN-053,true,5
INV-051,TXN-054,true,5
INV-052,TXN-054,true,5
INV-053,TXN-055,true,5
INV-054,TXN-055,true,5
INV-055,TXN-056,true,6
INV-056,TXN-057,true,6
INV-057,TXN-058,true,6
INV-058,TXN-059,true,6
INV-059,TXN-060,true,7
REFUND_TXN-061,TXN-061,false,7
INV-060,TXN-062,true,7
REFUND_TXN-063,TXN-063,false,7
INV-061,TXN-064,true,7
REFUND_TXN-065,TXN-065,false,7
INV-062,TXN-066,true,8
INV-063,,false,13
INV-064,TXN-067,true,8
INV-065,,false,13
INV-066,TXN-068,true,1
INV-067,,false,13
INV-068,TXN-069,true,11
INV-069,TXN-070,true,11
INV-070,TXN-071,true,11
ORPHAN_TXN-072,TXN-072,false,12
ORPHAN_TXN-073,TXN-073,false,12
ORPHAN_TXN-074,TXN-074,false,12
ORPHAN_TXN-075,TXN-075,false,12
INV-071,,false,13
INV-072,,false,13
INV-073,,false,13
INV-074,,false,13
INV-075,"TXN-076,TXN-077",true,15
