txn_id,txn_date,amount,direction,narration,channel,reference_number
TXN-001,03-08-2026,17700,credit,IMPS/CHOUBAKS settlement UTR20260800100,IMPS,UTR20260800100
TXN-002,03-08-2026,28910,credit,NEFT payment KAPOOR LOGISTICS UTR20260800101 settled,NEFT,UTR20260800101
TXN-003,05-08-2026,44840,credit,"NEFT payment CHAUDRY, CHAHAL AND SAMI ASSOCIATES UTR20260800102 settled",NEFT,UTR20260800102
TXN-004,06-08-2026,61360,credit,NEFT payment BALAN LOGISTICS UTR20260800103 settled,NEFT,UTR20260800103
TXN-005,06-08-2026,76700,credit,IMPS payment KAUL PLC ASSOCIATES UTR20260800104 settled,IMPS,UTR20260800104
TXN-006,09-08-2026,96760,credit,"IMPS payout from BALA, ISSAC AND SAINI TRADING CO invoice settlement",IMPS,
TXN-007,08-08-2026,112100,credit,IMPS payment SEN PLC TRADING CO UTR20260800106 settled,IMPS,UTR20260800106
TXN-008,11-08-2026,129800,credit,IMPS/AHUJENTE settlement UTR20260800107,IMPS,UTR20260800107
TXN-009,10-08-2026,147500,credit,"UPI-UTR202-SAMI, OAK AND MALL TECHNOLOGIES",UPI,UTR202
TXN-010,13-08-2026,165200,credit,IMPS payment KALE ASSOCIATES UTR20260800109 settled,IMPS,UTR20260800109
TXN-011,13-08-2026,206500,credit,NEFT payout from CHANDA LOGISTICS invoice settlement,NEFT,
TXN-012,13-08-2026,224200,credit,RTGS payment PARMER TECHNOLOGIES UTR20260800111 settled,RTGS,UTR20260800111
TXN-013,15-08-2026,247800,credit,"IMPS payment LALLA, BASSI AND SHARAF ASSOCIATES UTR20260800112 settled",IMPS,UTR20260800112
TXN-014,15-08-2026,283200,credit,"IMPS payment DASH, RADHAKRISHNAN AND BRAR SUPPLIERS UTR20260800113 settled",IMPS,UTR20260800113
TXN-015,17-08-2026,324500,credit,RTGS/MEMOPATH settlement UTR20260800114,RTGS,UTR20260800114
TXN-016,19-08-2026,365800,credit,"RTGS payout from BOASE, BATH AND KARI INDUSTRIES invoice settlement",RTGS,
TXN-017,20-08-2026,401200,credit,NEFT-UTR202-BUCH-KAUL PVT LTD,NEFT,UTR202
TXN-018,21-08-2026,448400,credit,RTGS payment RAI ASSOCIATES UTR20260800117 settled,RTGS,UTR20260800117
TXN-019,23-08-2026,495600,credit,UPI payment PATLA-GABA LOGISTICS UTR20260800118 settled,UPI,UTR20260800118
TXN-020,23-08-2026,542800,credit,RTGS payment PANT-KADAKIA TRADING CO UTR20260800119 settled,RTGS,UTR20260800119
TXN-021,24-08-2026,578200,credit,"UPI payout from LOKE, BORA AND GARG ASSOCIATES invoice settlement",UPI,
TXN-022,26-08-2026,64900,credit,RTGS/KONDGADE settlement UTR20260800121,RTGS,UTR20260800121
TXN-023,25-08-2026,84960,credit,NEFT payment MADAN-KANDA ENTERPRISES UTR20260800122 settled,NEFT,UTR20260800122
TXN-024,25-08-2026,159300,credit,"UPI payment NAIR, BHALLA AND KARNIK TRADING CO UTR20260800123 settled",UPI,UTR20260800123
TXN-025,28-08-2026,188800,credit,UPI-UTR202-MUTTI ASSOCIATES,UPI,UTR202
TXN-026,29-08-2026,265500,credit,NEFT payout from BHATTI-KAKAR PVT LTD invoice settlement,NEFT,
TXN-027,08-08-2026,21654,credit,"NEFT payment from MURTY, KALA AND TATA SUPPLIERS ref UTR20260800200 net settled",NEFT,UTR20260800200
TXN-028,09-08-2026,40260.60,credit,NEFT payment from SHANKER-DHAR ASSOCIATES ref UTR20260800201 net settled,NEFT,UTR20260800201
TXN-029,10-08-2026,80112.20,credit,NEFT payment from DEWAN-KOSHY PVT LTD ref UTR20260800202 net settled,NEFT,UTR20260800202
TXN-030,11-08-2026,107909,credit,"NEFT payment from YOHANNAN, LALL AND SANGHA TECHNOLOGIES ref UTR20260800203 net settled",NEFT,UTR20260800203
TXN-031,12-08-2026,171478.60,credit,"NEFT payment from RASTOGI, PATHAK AND KANDA TRADING CO ref UTR20260800204 net settled",NEFT,UTR20260800204
TXN-032,13-08-2026,250690,credit,NEFT payment from UPADHYAY ENTERPRISES ref UTR20260800205 net settled,NEFT,UTR20260800205
TXN-033,14-08-2026,459140,credit,NEFT payment from BATTA TECHNOLOGIES ref UTR20260800206 net settled,NEFT,UTR20260800206
TXN-034,13-08-2026,108000,credit,RTGS from DUTTA LTD LOGISTICS 194J TDS deducted payment,RTGS,
TXN-035,14-08-2026,54000,credit,RTGS from BHATT-RAJAN TRADING CO 194J TDS deducted payment,RTGS,
TXN-036,15-08-2026,98600,credit,RTGS from SIDHU-WADHWA PVT LTD 194C TDS deducted payment,RTGS,
TXN-037,16-08-2026,162000,credit,RTGS from APTE-CONTRACTOR INDUSTRIES 194J TDS deducted payment,RTGS,
TXN-038,17-08-2026,232000,credit,"RTGS from YADAV, LOKE AND OAK SUPPLIERS 194C TDS deducted payment",RTGS,
TXN-039,18-08-2026,81000,credit,RTGS from MEMON TECHNOLOGIES 194J TDS deducted payment,RTGS,
TXN-040,19-08-2026,139200,credit,RTGS from SETTY LOGISTICS 194C TDS deducted payment,RTGS,
